state,district,N,P,K,temperature,humidity,ph,rainfall,label,yield_t_ha,year,season
Assam,Dhubri,23.213570765056165,65.98921301591344,15.80833333514002,26.210455655409245,43.168282874590155,5.980018444443444,102.7708474263038,pigeonpeas,0.710434783,1997,Kharif     
Assam,Biswanath,21.288678494144076,16.55536721940776,28.162049439774954,26.845573100325073,84.49768005186158,5.951538804195741,195.49011909968897,coconut,5238.051739,1997,Whole Year 
Assam,Cachar,121.00844269050346,44.39690317107151,28.24952380917625,20.276094795327598,77.96955528473384,6.975308113355865,114.27687719292236,cotton,0.420909091,1997,Kharif     
Assam,Baksa,47.70514928204013,71.82523208303344,75.0445057210653,19.680622941381237,21.3579392360858,7.405602209529404,83.871538234141,chickpea,0.465454545,1997,Rabi       
Assam,Baksa,77.22923312638332,52.45843889276691,33.28434983672145,22.4120530381802,73.53100876393464,6.895417645226877,142.6723532665449,jute,9.919565217,1997,Kharif     
Assam,Baksa,76.5893152152541,49.855265811293265,27.429907868197557,24.65401499161854,67.97272308742416,5.918280498198226,99.6259403875427,maize,0.615652174,1997,Kharif     
Assam,Dhubri,87.78606407753696,45.8834440643092,45.85381612490219,22.445800835322338,86.08713934483227,6.110191379598115,220.90572326199558,rice,0.780869565,1997,Autumn     
Assam,Barpeta,83.72717364576454,47.37331397595415,42.03060121991884,23.498106163676162,75.91437083130349,6.559813095160436,239.8274404885589,rice,1.060434783,1997,Summer     
Assam,Baksa,77.54262807032524,47.67799808288814,39.64144622677086,23.696879923610414,81.13401509533816,6.496743415138673,249.89129614192757,rice,0.941304348,1997,Winter     
Karnataka,Ballari,23.442800217929822,63.71784980067582,18.09737747197509,28.230244331621144,55.94700719633582,5.639046150152277,160.38657140387312,pigeonpeas,0.268235294,1997,Kharif     
Karnataka,Chamarajanagar,75.4429115359377,51.334643242856174,21.199744369045256,22.463232665192283,68.34521254651871,6.318051504203348,106.38409266020085,maize,2.687777778,1997,Kharif     
Karnataka,Mysuru,75.43135123214873,50.74021161930233,27.68903478700775,21.534982812734736,63.784787123819896,5.96359768037922,87.6946004575908,maize,1.98,1997,Rabi       
Karnataka,Bagalkot,78.96981135783018,56.142206198883365,20.982830630710378,23.075300971588085,67.1687268529696,6.8980476245738025,88.23421986214066,maize,2.165714286,1997,Summer     
